time_index,set_point,measurement,proportional,integrator,differentiator
0.21080,9.921,0.918,4.501,1.000,0.000
0.21120,10.000,1.014,4.492,1.000,0.000
0.21160,9.928,0.998,4.465,1.000,0.000
0.21200,9.939,0.986,4.476,1.000,0.000
0.21240,9.980,1.064,4.458,1.000,0.000
0.21280,9.962,1.034,4.463,1.000,0.000
0.21320,9.915,1.013,4.451,1.000,0.000
0.21360,9.945,1.083,4.431,1.000,0.000
0.21400,9.926,1.048,4.439,1.000,0.000
0.21440,9.941,1.023,4.459,1.000,0.000
0.21480,9.964,1.004,4.479,1.000,0.000
0.21520,9.976,0.991,4.492,1.000,0.000
0.21560,9.985,1.067,4.458,1.000,0.000
0.21600,9.990,1.037,4.476,1.000,0.000
0.21640,9.994,0.928,4.532,1.000,0.000
0.21680,9.996,0.935,4.530,1.000,0.000
0.21720,9.997,1.027,4.485,1.000,0.000
0.21760,9.998,1.094,4.452,1.000,0.000
